habit_id,habit_name,habit_category,priority,timestamp,date,time,time_of_day,day_of_week,past_three_days,completed
cb6a7286-f6ce-426b-9daa-b1149298973e,Walk 10k Steps,Health,2,2025-06-04T00:48:25.403349,2025-06-04,00:48:25,0,2,"1,1,0",True
86d66169-0eb3-4dcf-9753-285df715ba6c,Learn JavaScript,Study,1,2025-06-09T00:24:25.403419,2025-06-09,00:24:25,0,0,"0,1,1",True
59c44cac-ec85-4f32-8920-fb7378eacb27,Study Calculus 30 Min,Study,1,2025-06-04T07:03:25.403453,2025-06-04,07:03:25,7,2,"0,0,0",False
f38f40d9-a8ec-4d14-a064-f3ce1c7f33c2,Yoga,Wellness,1,2025-06-09T05:48:25.403482,2025-06-09,05:48:25,5,0,"1,0,1",True
8133b6c9-62b3-48a7-994a-61ba13f71219,Read 20 Pages,Study,3,2025-06-08T23:36:25.403503,2025-06-08,23:36:25,23,6,"0,0,1",True
d0cdb363-a4d7-4a26-b12a-3ae0e000faa9,Journal,Wellness,1,2025-06-09T16:59:25.403523,2025-06-09,16:59:25,16,0,"0,0,0",True
ca050416-626e-4048-a360-cfec3a6dccdc,Walk 10k Steps,Health,1,2025-06-03T16:37:25.403541,2025-06-03,16:37:25,16,1,"1,0,1",False
2b44e325-6ec3-416f-8fb5-49b9147ad8f8,Walk 10k Steps,Health,1,2025-06-09T14:35:25.403560,2025-06-09,14:35:25,14,0,"0,1,1",True
d5963e92-3834-43a7-bcbc-0988e0379abd,Sleep 8 Hours,Wellness,3,2025-06-06T06:07:25.403579,2025-06-06,06:07:25,6,4,"1,1,1",True
fc8683a2-e499-4951-953e-5cbcd3642fa9,Learn JavaScript,Study,2,2025-06-08T14:13:25.403597,2025-06-08,14:13:25,14,6,"0,1,1",False
99060429-71db-43a0-aad0-2e7a82807b7a,Drink Water,Health,2,2025-06-08T09:46:25.403614,2025-06-08,09:46:25,9,6,"0,1,0",False
dd01de20-297e-48a7-bfa2-d2491be710a4,Yoga,Wellness,4,2025-06-08T04:46:25.403631,2025-06-08,04:46:25,4,6,"0,0,0",True
a38e2800-a828-4458-9f0a-d096cbc9d6a5,Sleep 8 Hours,Wellness,1,2025-06-06T04:59:25.403649,2025-06-06,04:59:25,4,4,"0,1,0",False
18b1dc70-ff50-42c9-a7ef-1d95e9d12a2f,Learn JavaScript,Study,5,2025-06-07T04:18:25.403666,2025-06-07,04:18:25,4,5,"0,0,0",False
ea2c61a9-8e8e-4bef-a0c7-df281e8b9b8b,Workout,Health,2,2025-06-09T04:28:25.403684,2025-06-09,04:28:25,4,0,"1,0,1",False
1904fdf4-69f0-4318-8f90-e4602150702f,Stretching,Health,4,2025-06-06T10:27:25.403700,2025-06-06,10:27:25,10,4,"1,1,1",True
50e85e3b-9537-473a-a3d9-44c3972914dc,Run 5km,Health,4,2025-06-02T21:13:25.403717,2025-06-02,21:13:25,21,0,"0,0,0",True
e0365f1e-54b0-4cda-8db7-91e31b0353f0,Meditation,Wellness,3,2025-06-06T11:32:25.403733,2025-06-06,11:32:25,11,4,"0,0,1",True
5c9ce50b-b1b1-4ab8-aab9-8b4f2c4d51b9,Do Laundry,Chore,5,2025-06-03T09:19:25.403749,2025-06-03,09:19:25,9,1,"0,0,0",True
3dbde1a8-1cf1-4e39-bb40-b7a25bf27764,Read 20 Pages,Study,4,2025-06-06T14:07:25.403766,2025-06-06,14:07:25,14,4,"0,1,0",True
25fbaff9-dab2-4769-81cb-a633a91c16b8,Sleep 8 Hours,Wellness,3,2025-06-03T15:23:25.403782,2025-06-03,15:23:25,15,1,"1,0,0",False
d5801306-32de-49f9-af88-575f06192fbf,Sleep 8 Hours,Wellness,3,2025-06-03T05:10:25.403797,2025-06-03,05:10:25,5,1,"0,1,1",False
33a24f3b-03aa-4ac5-b154-14adf77d24df,Write Blog,Skill,1,2025-06-04T07:20:25.403814,2025-06-04,07:20:25,7,2,"0,0,0",False
9e72c1e6-2c52-4b1c-919e-e580a208305e,Do Laundry,Chore,3,2025-06-04T04:09:25.403832,2025-06-04,04:09:25,4,2,"0,0,1",True
1da97a41-5c73-4b94-94d7-91efb2a2b371,Practice Piano,Skill,5,2025-06-04T13:46:25.403848,2025-06-04,13:46:25,13,2,"1,0,0",False
ef41852b-cfbc-476c-bde9-324865f785f3,Study Calculus 30 Min,Study,5,2025-06-07T06:37:25.403865,2025-06-07,06:37:25,6,5,"1,1,1",True
68cfdb0e-6213-445f-be6e-8251d0b15825,Sleep 8 Hours,Wellness,2,2025-06-08T21:39:25.403883,2025-06-08,21:39:25,21,6,"1,1,0",True
94c83f67-84b9-43d8-8901-2759383be5fa,Stretching,Health,3,2025-06-03T14:52:25.403901,2025-06-03,14:52:25,14,1,"0,1,0",False
82a33c70-f1f9-424f-a7c9-baa345bbe1d9,Write Blog,Skill,1,2025-06-05T09:59:25.403917,2025-06-05,09:59:25,9,3,"0,1,0",True
b2378f65-5565-4efe-8a57-eff0092020b0,Practice Piano,Skill,3,2025-06-03T18:11:25.403933,2025-06-03,18:11:25,18,1,"1,0,0",False
ea30f2bb-35c2-4ece-b255-1142e106dbb8,Drink Water,Health,5,2025-06-08T13:04:25.403951,2025-06-08,13:04:25,13,6,"0,1,1",True
0955072c-397e-4425-bc3f-476ce2700fdf,Learn JavaScript,Study,5,2025-06-09T04:11:25.403967,2025-06-09,04:11:25,4,0,"1,0,0",True
e2299513-8b3e-4bca-ae80-4ec92bd01241,Read 20 Pages,Study,3,2025-06-08T22:07:25.403983,2025-06-08,22:07:25,22,6,"1,0,0",False
ec072bac-25ec-419d-b62d-fbfa9eef6f28,Run 5km,Health,4,2025-06-05T14:32:25.404000,2025-06-05,14:32:25,14,3,"0,0,1",False
4259d95f-d1a2-4ac3-ba06-aa587a59c9ba,Code 1 Hour,Skill,3,2025-06-05T15:22:25.404016,2025-06-05,15:22:25,15,3,"0,0,0",True
1e7621c4-61d5-4035-bf30-b620617c0e9f,Do Laundry,Chore,4,2025-06-05T18:36:25.404031,2025-06-05,18:36:25,18,3,"0,1,0",True
72654a2e-a0c0-4909-b8e9-38fe7514e8db,Clean Room,Chore,4,2025-06-07T07:27:25.404047,2025-06-07,07:27:25,7,5,"1,0,1",True
6e32a3f6-a887-4123-88a4-752d90c83b93,Walk 10k Steps,Health,1,2025-06-05T12:03:25.404063,2025-06-05,12:03:25,12,3,"1,0,0",True
d60509b6-a11d-43f2-bbe6-bfc3bf9be6a3,Practice Piano,Skill,5,2025-06-04T21:03:25.404079,2025-06-04,21:03:25,21,2,"1,0,0",True
94a5dc7b-6543-4084-92a4-8e5a2810f71f,Write Blog,Skill,5,2025-06-04T02:11:25.404096,2025-06-04,02:11:25,2,2,"1,0,1",True
98c65a1e-7e11-4e32-b176-f75e35d114f1,Run 5km,Health,1,2025-06-05T08:11:25.404113,2025-06-05,08:11:25,8,3,"1,1,1",False
2d5ff5d8-cad8-4811-af13-5315ae05ba0b,Practice Piano,Skill,5,2025-06-07T03:34:25.404129,2025-06-07,03:34:25,3,5,"1,1,1",True
025bae43-4bc0-43bf-95ce-95b05c7f51a0,Read 20 Pages,Study,1,2025-06-06T08:47:25.404146,2025-06-06,08:47:25,8,4,"1,0,1",True
4e709788-8fd1-46eb-bfd1-653d73b0fe89,Sleep 8 Hours,Wellness,3,2025-06-05T13:33:25.404161,2025-06-05,13:33:25,13,3,"1,1,0",False
a1d8c41e-e0cf-44b7-8f61-bc531fa92b2d,Learn JavaScript,Study,3,2025-06-07T22:35:25.404179,2025-06-07,22:35:25,22,5,"1,0,0",True
e473a38a-c277-41cf-b30f-1d196c6875f1,Journal,Wellness,4,2025-06-05T04:46:25.404195,2025-06-05,04:46:25,4,3,"1,0,1",True
7a4139c4-7b78-4e5d-b4ce-593f5dd6bd63,Clean Room,Chore,2,2025-06-08T15:39:25.404212,2025-06-08,15:39:25,15,6,"1,0,1",False
f1b9725b-69f2-4c6c-960c-439433f477b4,Meditation,Wellness,5,2025-06-08T14:24:25.404228,2025-06-08,14:24:25,14,6,"0,0,0",False
8ff1c488-d223-4748-b8ab-f1c3cf3f1097,Write Blog,Skill,5,2025-06-04T02:38:25.404245,2025-06-04,02:38:25,2,2,"0,1,1",False
0e698b32-6972-42a4-a662-8931446cabb2,Learn JavaScript,Study,2,2025-06-05T14:06:25.404262,2025-06-05,14:06:25,14,3,"1,1,0",True
44a3ac2d-04f1-4bef-8d80-1bc0cdbf3b03,Yoga,Wellness,1,2025-06-04T09:41:25.404279,2025-06-04,09:41:25,9,2,"0,1,1",False
6ebde7b7-e5f7-4e61-9b15-6f0102e44e06,Study Calculus 30 Min,Study,3,2025-06-04T10:15:25.404297,2025-06-04,10:15:25,10,2,"0,1,0",False
fefbf524-5058-4b77-b753-02a825912976,Eat 5 Veggies,Health,2,2025-06-03T20:46:25.404314,2025-06-03,20:46:25,20,1,"1,0,0",False
d61330d3-46ea-444c-8fdc-3a9dc991b276,Workout,Health,2,2025-06-03T10:24:25.404330,2025-06-03,10:24:25,10,1,"0,1,0",False
a3c96cd3-78cf-4edb-9783-534511c48476,Eat 5 Veggies,Health,2,2025-06-09T05:40:25.404347,2025-06-09,05:40:25,5,0,"0,1,0",False
ed95be13-60d8-419f-991a-d2c63cff97f4,Study Calculus 30 Min,Study,4,2025-06-06T12:59:25.404363,2025-06-06,12:59:25,12,4,"1,0,1",True
41e5c48a-8103-4a85-a29a-3f54f5b440e6,Eat 5 Veggies,Health,1,2025-06-05T00:06:25.404380,2025-06-05,00:06:25,0,3,"0,1,0",True
7c2d5d65-5fcd-42e3-a4e9-c1efbe5a7867,Do Laundry,Chore,3,2025-06-06T05:06:25.404397,2025-06-06,05:06:25,5,4,"0,1,0",False
2f6be5ef-7c39-4386-8249-f5ff2e711995,Eat 5 Veggies,Health,3,2025-06-04T01:26:25.404413,2025-06-04,01:26:25,1,2,"1,1,1",False
d07f5c69-1e64-440b-9760-3f79e832f402,Drink Water,Health,5,2025-06-04T09:43:25.404430,2025-06-04,09:43:25,9,2,"1,0,0",True
afe5b272-0813-4e1b-ace3-ee1e3fe19f95,Journal,Wellness,1,2025-06-09T03:26:25.404445,2025-06-09,03:26:25,3,0,"0,0,0",False
d5889338-debd-45bf-8d04-a63a137d0e17,Run 5km,Health,2,2025-06-08T02:51:25.404461,2025-06-08,02:51:25,2,6,"1,1,1",False
709b27f0-cc76-4fbd-9e06-cfbff05460ae,Do Laundry,Chore,3,2025-06-06T09:05:25.404478,2025-06-06,09:05:25,9,4,"1,1,1",True
